model,dataset,device,IOparameter,GDC,pgm_noise_scale,read_noise_scale,drift_scale,Gmax,Gmin,G_ratio,inf_time,0.01,0.05,0.1,GST225,default,linear,log
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,1,95.64399,95.556007,95.513008,95.684998,,95.526993,95.590996
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,10,95.548996,95.336006,95.182007,95.476006,,95.320999,95.439995
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,100,95.43,94.619003,93.414001,95.355011,,94.091995,94.945999
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,1000,95.108994,92.854996,88.595001,94.913994,,90.375,93.731995
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,3600,94.865997,91.641991,84.136002,94.469002,,87.279999,92.886002
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,10000,94.732002,90.162003,79.757996,94.076004,,84.160995,92.033989
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,86400,94.272995,86.493996,67.764999,92.826996,,75.824005,89.283005
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,10000000,92.901009,75.680008,34.562,89.343002,,49.821999,81.653999
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,100000000,91.888,69.329002,23.042002,86.794998,,36.372997,77.156998
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,1000000000,90.908997,62.160999,15.699,84.293007,,26.205999,72.051003
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,10000000000,89.963997,54.339001,11.792999,81.550003,,18.895,66.374001
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,1000000000000,87.598999,38.654999,9.572001,75.487,,11.300001,54.653004
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,1000000000000000,84.112991,21.563,9.626001,65.695999,,9.003,36.980999
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,1,,,,94.768005,,,
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,10,,,,94.608009,,,
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,100,,,,94.257004,,,
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,1000,,,,93.721001,,,
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,3600,,,,92.606003,,,
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,10000,,,,92.168991,,,
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,86400,,,,90.582001,,,
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,10000000,,,,86.315002,,,
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,100000000,,,,83.811996,,,
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,1000000000,,,,80.528,,,
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,10000000000,,,,78.772995,,,
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,1000000000000,,,,71.664001,,,
MLP,MNIST,PCMPresetUnitCell,non-ideal,off,1,1,1,default,default,25,1000000000000000,,,,62.016998,,,
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,1,92.800995,92.814003,92.777,92.791,92.808998,,92.827003
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,10,92.744003,92.744003,92.414001,92.753998,92.717995,,92.762001
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,100,92.606003,90.826996,81.884995,92.038002,90.811996,,91.218002
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,1000,92.003998,78.621994,25.332001,88.5,77.809998,,82.013
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,3600,91.448006,61.738007,17.056,84.454002,60.394001,,69.199005
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,10000,90.811996,45.500999,15.834,79.327003,44.062,,56.105999
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,86400,89.091003,22.445004,11.746,65.554993,21.983997,,30.299
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,10000000,80.909996,13.503,10.153999,33.096001,13.107999,,15.775
Resnet18,CIFAR10,PCMPresetUnitCell,non-ideal,off,0,0,1,default,default,25,100000000,74.177002,10.068,10.121,24.016001,12.434,,11.672
